,count,mean,std,min,25%,50%,75%,max
b_umd,47539.0,-0.12950763162871573,0.2146037386751264,-0.7595,-0.1664,-0.0996,-0.0423,0.2629
exret,47539.0,0.0017993744024909506,0.06288744441202376,-0.16505254000000003,-0.011831000000000001,0.002778,0.0170265,0.16363990000000003
ivol,47539.0,0.1157525602078671,0.04266915838617216,0.054202099999999996,0.0947635,0.10808400000000001,0.1217605,0.24685026000000004
n,47539.0,235.85041755190474,32.04138659261224,138.0,240.0,252.0,252.0,252.0
R2,47539.0,0.21590853547778013,0.08605440723730257,0.05311782,0.1825925,0.20929099999999998,0.2363745,0.43711222000000005
tvol,47539.0,0.13170008241025064,0.04595381934508129,0.0620227,0.11071500000000001,0.123671,0.13821899999999998,0.2706834
BUYPCT,47539.0,59.39015397883699,29.158802530972512,0.0,41.67,60.61,80.0,100.0
HOLDPCT,47539.0,36.49579461074417,27.24186166087864,0.0,16.67,33.33,50.0,100.0
SELLPCT,47539.0,2.5024384189822624,5.99455371293071,0.0,0.0,0.0,0.0,25.0
MEANREC,47539.0,2.195776520331219,0.4492140239330332,1.25,2.0,2.16,2.5,3.07
MEDREC,47539.0,2.2138349565619806,0.5816972015162439,1.0,2.0,2.0,3.0,3.0
recup,47539.0,0.00429418888634143,0.017047362325397095,0.0,0.0,0.0,0.0,0.08333333333333333
recdown,47539.0,0.006192504092309923,0.023158119374872308,0.0,0.0,0.0,0.0,0.1111111111111111
STDEV,47539.0,0.6544891562715871,0.3118376988331286,0.0,0.55,0.71,0.84,1.15
january,47539.0,0.08348934558993669,0.27662336199055676,0.0,0.0,0.0,0.0,1.0
february,47539.0,0.08344727486905489,0.2765600044922301,0.0,0.0,0.0,0.0,1.0
march,47539.0,0.08332106270640947,0.2763698064232011,0.0,0.0,0.0,0.0,1.0
april,47539.0,0.08319485054376406,0.2761794196902376,0.0,0.0,0.0,0.0,1.0
may,47539.0,0.08327899198552767,0.27630636516061907,0.0,0.0,0.0,0.0,1.0
june,47539.0,0.08325795662508677,0.27627463666421037,0.0,0.0,0.0,0.0,1.0
july,47539.0,0.08306863838111866,0.2759888439025153,0.0,0.0,0.0,0.0,1.0
august,47539.0,0.08336313342729128,0.2764332267229422,0.0,0.0,0.0,0.0,1.0
september,47539.0,0.08365762847346389,0.27687658307601093,0.0,0.0,0.0,0.0,1.0
october,47539.0,0.08346831022949579,0.2765916858552318,0.0,0.0,0.0,0.0,1.0
november,47539.0,0.08334209806685038,0.27640151919250805,0.0,0.0,0.0,0.0,1.0
december,47539.0,0.08311070910200047,0.2760523901953732,0.0,0.0,0.0,0.0,1.0
forward_one_month_return_median,47539.0,-0.28032065893327995,3.0770760036076026,-4.753063497957677,-1.6107668979645162,-0.32219955263711464,1.9572881398205455,5.222999364156622
forward_two_month_return_median,47539.0,-0.5558926155310374,4.0283560066510455,-8.644896461875195,-1.3684210526315743,-0.3469331112961438,0.5387813130322661,6.66981632657484
forward_three_month_return_median,47539.0,-1.21137301996605,3.836939250271689,-10.272264695580873,-0.9524738007765488,-0.391695762401445,1.8569327919625067,4.752475247524757
forward_four_month_return_median,47539.0,-2.47610294767979,3.4183850426824227,-10.027855153203348,-2.3098591549295833,-2.3098591549295833,-1.7478152309612915,5.474452554744524
forward_five_month_return_median,47539.0,-3.738383187220182,3.1923359783570024,-8.50642927794263,-5.589995830222172,-3.758621642308746,-3.758621642308746,5.401942642760771
forward_six_month_return_median,47539.0,-4.712911043045135,2.744990370947229,-9.45454545454545,-4.649208981470854,-4.649208981470854,-4.649208981470854,2.8026059005554993
forward_seven_month_return_median,47539.0,-5.29169661075813,1.670398862889879,-8.561962691642277,-5.235602094240843,-5.235602094240843,-5.235602094240843,-1.2292720902014498
forward_eight_month_return_median,47539.0,-5.1494328536258225,0.2571511398941504,-6.0030717290666775,-5.071969983024665,-5.071969983024665,-5.071969983024665,-5.071969983024665
forward_nine_month_return_median,47539.0,-4.19327207924513,1.0247786858084011,-6.833539290719825,-4.1666666666666625,-4.1666666666666625,-4.1666666666666625,-1.8238378041779413
forward_ten_month_return_median,47539.0,-3.150789186910759,1.0941582693822123,-5.752762083307871,-3.1658908787733253,-3.1658908787733253,-3.1658908787733253,-0.39944154697563183
forward_eleven_month_return_median,47539.0,-2.719013685623181,1.3353902993011382e-12,-2.719013685624516,-2.719013685624516,-2.719013685624516,-2.719013685624516,-2.719013685624516
forward_twelve_month_return_median,47539.0,-2.3762376237607468,1.6427032647538775e-12,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895,-2.3762376237623895
forward_thirteen_month_return_median,47539.0,-1.1905355346460809,5.326906099141054e-13,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482,-1.1905355346455482
forward_fourteen_month_return_median,47539.0,-2.8167379708063143,2.5881791367898346e-12,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024,-2.8167379708089024
forward_fifteen_month_return_median,47539.0,-3.6071028927315476,3.4195228814827946e-13,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896,-3.6071028927318896
