X_time_index,y_time_index,year-month
480,481,1940-01
481,482,1940-02
482,483,1940-03
483,484,1940-04
484,485,1940-05
485,486,1940-06
486,487,1940-07
487,488,1940-08
488,489,1940-09
489,490,1940-10
490,491,1940-11
491,492,1940-12
492,493,1941-01
493,494,1941-02
494,495,1941-03
495,496,1941-04
496,497,1941-05
497,498,1941-06
498,499,1941-07
499,500,1941-08
500,501,1941-09
501,502,1941-10
502,503,1941-11
503,504,1941-12
504,505,1942-01
505,506,1942-02
506,507,1942-03
507,508,1942-04
508,509,1942-05
509,510,1942-06
510,511,1942-07
511,512,1942-08
512,513,1942-09
513,514,1942-10
514,515,1942-11
515,516,1942-12
516,517,1943-01
517,518,1943-02
518,519,1943-03
519,520,1943-04
520,521,1943-05
521,522,1943-06
522,523,1943-07
523,524,1943-08
524,525,1943-09
525,526,1943-10
526,527,1943-11
527,528,1943-12
528,529,1944-01
529,530,1944-02
530,531,1944-03
531,532,1944-04
532,533,1944-05
533,534,1944-06
534,535,1944-07
535,536,1944-08
536,537,1944-09
537,538,1944-10
538,539,1944-11
539,540,1944-12
540,541,1945-01
541,542,1945-02
542,543,1945-03
543,544,1945-04
544,545,1945-05
545,546,1945-06
546,547,1945-07
547,548,1945-08
548,549,1945-09
549,550,1945-10
550,551,1945-11
551,552,1945-12
552,553,1946-01
553,554,1946-02
554,555,1946-03
555,556,1946-04
556,557,1946-05
557,558,1946-06
558,559,1946-07
559,560,1946-08
560,561,1946-09
561,562,1946-10
562,563,1946-11
563,564,1946-12
564,565,1947-01
565,566,1947-02
566,567,1947-03
567,568,1947-04
568,569,1947-05
569,570,1947-06
570,571,1947-07
571,572,1947-08
572,573,1947-09
573,574,1947-10
574,575,1947-11
575,576,1947-12
576,577,1948-01
577,578,1948-02
578,579,1948-03
579,580,1948-04
580,581,1948-05
581,582,1948-06
582,583,1948-07
583,584,1948-08
584,585,1948-09
585,586,1948-10
586,587,1948-11
587,588,1948-12
588,589,1949-01
589,590,1949-02
590,591,1949-03
591,592,1949-04
592,593,1949-05
593,594,1949-06
594,595,1949-07
595,596,1949-08
596,597,1949-09
597,598,1949-10
598,599,1949-11
599,600,1949-12
600,601,1950-01
601,602,1950-02
602,603,1950-03
603,604,1950-04
604,605,1950-05
605,606,1950-06
606,607,1950-07
607,608,1950-08
608,609,1950-09
609,610,1950-10
610,611,1950-11
611,612,1950-12
612,613,1951-01
613,614,1951-02
614,615,1951-03
615,616,1951-04
616,617,1951-05
617,618,1951-06
618,619,1951-07
619,620,1951-08
620,621,1951-09
621,622,1951-10
622,623,1951-11
623,624,1951-12
624,625,1952-01
625,626,1952-02
626,627,1952-03
627,628,1952-04
628,629,1952-05
629,630,1952-06
630,631,1952-07
631,632,1952-08
632,633,1952-09
633,634,1952-10
634,635,1952-11
635,636,1952-12
636,637,1953-01
637,638,1953-02
638,639,1953-03
639,640,1953-04
640,641,1953-05
641,642,1953-06
642,643,1953-07
643,644,1953-08
644,645,1953-09
645,646,1953-10
646,647,1953-11
647,648,1953-12
648,649,1954-01
649,650,1954-02
650,651,1954-03
651,652,1954-04
652,653,1954-05
653,654,1954-06
654,655,1954-07
655,656,1954-08
656,657,1954-09
657,658,1954-10
658,659,1954-11
659,660,1954-12
660,661,1955-01
661,662,1955-02
662,663,1955-03
663,664,1955-04
664,665,1955-05
665,666,1955-06
666,667,1955-07
667,668,1955-08
668,669,1955-09
669,670,1955-10
670,671,1955-11
671,672,1955-12
672,673,1956-01
673,674,1956-02
674,675,1956-03
675,676,1956-04
676,677,1956-05
677,678,1956-06
678,679,1956-07
679,680,1956-08
680,681,1956-09
681,682,1956-10
682,683,1956-11
683,684,1956-12
684,685,1957-01
685,686,1957-02
686,687,1957-03
687,688,1957-04
688,689,1957-05
689,690,1957-06
690,691,1957-07
691,692,1957-08
692,693,1957-09
693,694,1957-10
694,695,1957-11
695,696,1957-12
696,697,1958-01
697,698,1958-02
698,699,1958-03
699,700,1958-04
700,701,1958-05
701,702,1958-06
702,703,1958-07
703,704,1958-08
704,705,1958-09
705,706,1958-10
706,707,1958-11
707,708,1958-12
708,709,1959-01
709,710,1959-02
710,711,1959-03
711,712,1959-04
712,713,1959-05
713,714,1959-06
714,715,1959-07
715,716,1959-08
716,717,1959-09
717,718,1959-10
718,719,1959-11
719,720,1959-12
720,721,1960-01
721,722,1960-02
722,723,1960-03
723,724,1960-04
724,725,1960-05
725,726,1960-06
726,727,1960-07
727,728,1960-08
728,729,1960-09
729,730,1960-10
730,731,1960-11
731,732,1960-12
732,733,1961-01
733,734,1961-02
734,735,1961-03
735,736,1961-04
736,737,1961-05
737,738,1961-06
738,739,1961-07
739,740,1961-08
740,741,1961-09
741,742,1961-10
742,743,1961-11
743,744,1961-12
744,745,1962-01
745,746,1962-02
746,747,1962-03
747,748,1962-04
748,749,1962-05
749,750,1962-06
750,751,1962-07
751,752,1962-08
752,753,1962-09
753,754,1962-10
754,755,1962-11
755,756,1962-12
756,757,1963-01
757,758,1963-02
758,759,1963-03
759,760,1963-04
760,761,1963-05
761,762,1963-06
762,763,1963-07
763,764,1963-08
764,765,1963-09
765,766,1963-10
766,767,1963-11
767,768,1963-12
768,769,1964-01
769,770,1964-02
770,771,1964-03
771,772,1964-04
772,773,1964-05
773,774,1964-06
774,775,1964-07
775,776,1964-08
776,777,1964-09
777,778,1964-10
778,779,1964-11
779,780,1964-12
780,781,1965-01
781,782,1965-02
782,783,1965-03
783,784,1965-04
784,785,1965-05
785,786,1965-06
786,787,1965-07
787,788,1965-08
788,789,1965-09
789,790,1965-10
790,791,1965-11
791,792,1965-12
792,793,1966-01
793,794,1966-02
794,795,1966-03
795,796,1966-04
796,797,1966-05
797,798,1966-06
798,799,1966-07
799,800,1966-08
800,801,1966-09
801,802,1966-10
802,803,1966-11
803,804,1966-12
804,805,1967-01
805,806,1967-02
806,807,1967-03
807,808,1967-04
808,809,1967-05
809,810,1967-06
810,811,1967-07
811,812,1967-08
812,813,1967-09
813,814,1967-10
814,815,1967-11
815,816,1967-12
816,817,1968-01
817,818,1968-02
818,819,1968-03
819,820,1968-04
820,821,1968-05
821,822,1968-06
822,823,1968-07
823,824,1968-08
824,825,1968-09
825,826,1968-10
826,827,1968-11
827,828,1968-12
828,829,1969-01
829,830,1969-02
830,831,1969-03
831,832,1969-04
832,833,1969-05
833,834,1969-06
834,835,1969-07
835,836,1969-08
836,837,1969-09
837,838,1969-10
838,839,1969-11
839,840,1969-12
840,841,1970-01
841,842,1970-02
842,843,1970-03
843,844,1970-04
844,845,1970-05
845,846,1970-06
846,847,1970-07
847,848,1970-08
848,849,1970-09
849,850,1970-10
850,851,1970-11
851,852,1970-12
852,853,1971-01
853,854,1971-02
854,855,1971-03
855,856,1971-04
856,857,1971-05
857,858,1971-06
858,859,1971-07
859,860,1971-08
860,861,1971-09
861,862,1971-10
862,863,1971-11
863,864,1971-12
864,865,1972-01
865,866,1972-02
866,867,1972-03
867,868,1972-04
868,869,1972-05
869,870,1972-06
870,871,1972-07
871,872,1972-08
872,873,1972-09
873,874,1972-10
874,875,1972-11
875,876,1972-12
876,877,1973-01
877,878,1973-02
878,879,1973-03
879,880,1973-04
880,881,1973-05
881,882,1973-06
882,883,1973-07
883,884,1973-08
884,885,1973-09
885,886,1973-10
886,887,1973-11
887,888,1973-12
888,889,1974-01
889,890,1974-02
890,891,1974-03
891,892,1974-04
892,893,1974-05
893,894,1974-06
894,895,1974-07
895,896,1974-08
896,897,1974-09
897,898,1974-10
898,899,1974-11
899,900,1974-12
900,901,1975-01
901,902,1975-02
902,903,1975-03
903,904,1975-04
904,905,1975-05
905,906,1975-06
906,907,1975-07
907,908,1975-08
908,909,1975-09
909,910,1975-10
910,911,1975-11
911,912,1975-12
912,913,1976-01
913,914,1976-02
914,915,1976-03
915,916,1976-04
916,917,1976-05
917,918,1976-06
918,919,1976-07
919,920,1976-08
920,921,1976-09
921,922,1976-10
922,923,1976-11
923,924,1976-12
924,925,1977-01
925,926,1977-02
926,927,1977-03
927,928,1977-04
928,929,1977-05
929,930,1977-06
930,931,1977-07
931,932,1977-08
932,933,1977-09
933,934,1977-10
934,935,1977-11
935,936,1977-12
936,937,1978-01
937,938,1978-02
938,939,1978-03
939,940,1978-04
940,941,1978-05
941,942,1978-06
942,943,1978-07
943,944,1978-08
944,945,1978-09
945,946,1978-10
946,947,1978-11
947,948,1978-12
948,949,1979-01
949,950,1979-02
950,951,1979-03
951,952,1979-04
952,953,1979-05
953,954,1979-06
954,955,1979-07
955,956,1979-08
956,957,1979-09
957,958,1979-10
958,959,1979-11
959,960,1979-12
960,961,1980-01
961,962,1980-02
962,963,1980-03
963,964,1980-04
964,965,1980-05
965,966,1980-06
966,967,1980-07
967,968,1980-08
968,969,1980-09
969,970,1980-10
970,971,1980-11
971,972,1980-12
972,973,1981-01
973,974,1981-02
974,975,1981-03
975,976,1981-04
976,977,1981-05
977,978,1981-06
978,979,1981-07
979,980,1981-08
980,981,1981-09
981,982,1981-10
982,983,1981-11
983,984,1981-12
984,985,1982-01
985,986,1982-02
986,987,1982-03
987,988,1982-04
988,989,1982-05
989,990,1982-06
990,991,1982-07
991,992,1982-08
992,993,1982-09
993,994,1982-10
994,995,1982-11
995,996,1982-12
996,997,1983-01
997,998,1983-02
998,999,1983-03
999,1000,1983-04
1000,1001,1983-05
1001,1002,1983-06
1002,1003,1983-07
1003,1004,1983-08
1004,1005,1983-09
1005,1006,1983-10
1006,1007,1983-11
1007,1008,1983-12
1008,1009,1984-01
1009,1010,1984-02
1010,1011,1984-03
1011,1012,1984-04
1012,1013,1984-05
1013,1014,1984-06
1014,1015,1984-07
1015,1016,1984-08
1016,1017,1984-09
1017,1018,1984-10
1018,1019,1984-11
1019,1020,1984-12
1020,1021,1985-01
1021,1022,1985-02
1022,1023,1985-03
1023,1024,1985-04
1024,1025,1985-05
1025,1026,1985-06
1026,1027,1985-07
1027,1028,1985-08
1028,1029,1985-09
1029,1030,1985-10
1030,1031,1985-11
1031,1032,1985-12
1032,1033,1986-01
1033,1034,1986-02
1034,1035,1986-03
1035,1036,1986-04
1036,1037,1986-05
1037,1038,1986-06
1038,1039,1986-07
1039,1040,1986-08
1040,1041,1986-09
1041,1042,1986-10
1042,1043,1986-11
1043,1044,1986-12
1044,1045,1987-01
1045,1046,1987-02
1046,1047,1987-03
1047,1048,1987-04
1048,1049,1987-05
1049,1050,1987-06
1050,1051,1987-07
1051,1052,1987-08
1052,1053,1987-09
1053,1054,1987-10
1054,1055,1987-11
1055,1056,1987-12
1056,1057,1988-01
1057,1058,1988-02
1058,1059,1988-03
1059,1060,1988-04
1060,1061,1988-05
1061,1062,1988-06
1062,1063,1988-07
1063,1064,1988-08
1064,1065,1988-09
1065,1066,1988-10
1066,1067,1988-11
1067,1068,1988-12
1068,1069,1989-01
1069,1070,1989-02
1070,1071,1989-03
1071,1072,1989-04
1072,1073,1989-05
1073,1074,1989-06
1074,1075,1989-07
1075,1076,1989-08
1076,1077,1989-09
1077,1078,1989-10
1078,1079,1989-11
1079,1080,1989-12
1080,1081,1990-01
1081,1082,1990-02
1082,1083,1990-03
1083,1084,1990-04
1084,1085,1990-05
1085,1086,1990-06
1086,1087,1990-07
1087,1088,1990-08
1088,1089,1990-09
1089,1090,1990-10
1090,1091,1990-11
1091,1092,1990-12
1092,1093,1991-01
1093,1094,1991-02
1094,1095,1991-03
1095,1096,1991-04
1096,1097,1991-05
1097,1098,1991-06
1098,1099,1991-07
1099,1100,1991-08
1100,1101,1991-09
1101,1102,1991-10
1102,1103,1991-11
1103,1104,1991-12
1104,1105,1992-01
1105,1106,1992-02
1106,1107,1992-03
1107,1108,1992-04
1108,1109,1992-05
1109,1110,1992-06
1110,1111,1992-07
1111,1112,1992-08
1112,1113,1992-09
1113,1114,1992-10
1114,1115,1992-11
1115,1116,1992-12
1116,1117,1993-01
1117,1118,1993-02
1118,1119,1993-03
1119,1120,1993-04
1120,1121,1993-05
1121,1122,1993-06
1122,1123,1993-07
1123,1124,1993-08
1124,1125,1993-09
1125,1126,1993-10
1126,1127,1993-11
1127,1128,1993-12
1128,1129,1994-01
1129,1130,1994-02
1130,1131,1994-03
1131,1132,1994-04
1132,1133,1994-05
1133,1134,1994-06
1134,1135,1994-07
1135,1136,1994-08
1136,1137,1994-09
1137,1138,1994-10
1138,1139,1994-11
1139,1140,1994-12
1140,1141,1995-01
1141,1142,1995-02
1142,1143,1995-03
1143,1144,1995-04
1144,1145,1995-05
1145,1146,1995-06
1146,1147,1995-07
1147,1148,1995-08
1148,1149,1995-09
1149,1150,1995-10
1150,1151,1995-11
1151,1152,1995-12
1152,1153,1996-01
1153,1154,1996-02
1154,1155,1996-03
1155,1156,1996-04
1156,1157,1996-05
1157,1158,1996-06
1158,1159,1996-07
1159,1160,1996-08
1160,1161,1996-09
1161,1162,1996-10
1162,1163,1996-11
1163,1164,1996-12
1164,1165,1997-01
1165,1166,1997-02
1166,1167,1997-03
1167,1168,1997-04
1168,1169,1997-05
1169,1170,1997-06
1170,1171,1997-07
1171,1172,1997-08
1172,1173,1997-09
1173,1174,1997-10
1174,1175,1997-11
1175,1176,1997-12
1176,1177,1998-01
1177,1178,1998-02
1178,1179,1998-03
1179,1180,1998-04
1180,1181,1998-05
1181,1182,1998-06
1182,1183,1998-07
1183,1184,1998-08
1184,1185,1998-09
1185,1186,1998-10
1186,1187,1998-11
1187,1188,1998-12
1188,1189,1999-01
1189,1190,1999-02
1190,1191,1999-03
1191,1192,1999-04
1192,1193,1999-05
1193,1194,1999-06
1194,1195,1999-07
1195,1196,1999-08
1196,1197,1999-09
1197,1198,1999-10
1198,1199,1999-11
1199,1200,1999-12
1200,1201,2000-01
1201,1202,2000-02
1202,1203,2000-03
1203,1204,2000-04
1204,1205,2000-05
1205,1206,2000-06
1206,1207,2000-07
1207,1208,2000-08
1208,1209,2000-09
1209,1210,2000-10
1210,1211,2000-11
1211,1212,2000-12
1212,1213,2001-01
1213,1214,2001-02
1214,1215,2001-03
1215,1216,2001-04
1216,1217,2001-05
1217,1218,2001-06
1218,1219,2001-07
1219,1220,2001-08
1220,1221,2001-09
1221,1222,2001-10
1222,1223,2001-11
1223,1224,2001-12
1224,1225,2002-01
1225,1226,2002-02
1226,1227,2002-03
1227,1228,2002-04
1228,1229,2002-05
1229,1230,2002-06
1230,1231,2002-07
1231,1232,2002-08
1232,1233,2002-09
1233,1234,2002-10
1234,1235,2002-11
1235,1236,2002-12
1236,1237,2003-01
1237,1238,2003-02
1238,1239,2003-03
1239,1240,2003-04
1240,1241,2003-05
1241,1242,2003-06
1242,1243,2003-07
1243,1244,2003-08
1244,1245,2003-09
1245,1246,2003-10
1246,1247,2003-11
1247,1248,2003-12
1248,1249,2004-01
1249,1250,2004-02
1250,1251,2004-03
1251,1252,2004-04
1252,1253,2004-05
1253,1254,2004-06
1254,1255,2004-07
1255,1256,2004-08
1256,1257,2004-09
1257,1258,2004-10
1258,1259,2004-11
1259,1260,2004-12
1260,1261,2005-01
1261,1262,2005-02
1262,1263,2005-03
1263,1264,2005-04
1264,1265,2005-05
1265,1266,2005-06
1266,1267,2005-07
1267,1268,2005-08
1268,1269,2005-09
1269,1270,2005-10
1270,1271,2005-11
1271,1272,2005-12
1272,1273,2006-01
1273,1274,2006-02
1274,1275,2006-03
1275,1276,2006-04
1276,1277,2006-05
1277,1278,2006-06
1278,1279,2006-07
1279,1280,2006-08
1280,1281,2006-09
1281,1282,2006-10
1282,1283,2006-11
1283,1284,2006-12
1284,1285,2007-01
1285,1286,2007-02
1286,1287,2007-03
1287,1288,2007-04
1288,1289,2007-05
1289,1290,2007-06
1290,1291,2007-07
1291,1292,2007-08
1292,1293,2007-09
1293,1294,2007-10
1294,1295,2007-11
1295,1296,2007-12
1296,1297,2008-01
1297,1298,2008-02
1298,1299,2008-03
1299,1300,2008-04
1300,1301,2008-05
1301,1302,2008-06
1302,1303,2008-07
1303,1304,2008-08
1304,1305,2008-09
1305,1306,2008-10
1306,1307,2008-11
1307,1308,2008-12
1308,1309,2009-01
1309,1310,2009-02
1310,1311,2009-03
