Index,Year-Month,Month,Year
507,1942-3,3,1942
508,1942-4,4,1942
509,1942-5,5,1942
510,1942-6,6,1942
511,1942-7,7,1942
512,1942-8,8,1942
513,1942-9,9,1942
514,1942-10,10,1942
515,1942-11,11,1942
516,1942-12,12,1942
517,1943-1,1,1943
518,1943-2,2,1943
519,1943-3,3,1943
520,1943-4,4,1943
521,1943-5,5,1943
522,1943-6,6,1943
523,1943-7,7,1943
524,1943-8,8,1943
525,1943-9,9,1943
526,1943-10,10,1943
527,1943-11,11,1943
528,1943-12,12,1943
529,1944-1,1,1944
530,1944-2,2,1944
531,1944-3,3,1944
532,1944-4,4,1944
533,1944-5,5,1944
534,1944-6,6,1944
535,1944-7,7,1944
536,1944-8,8,1944
537,1944-9,9,1944
538,1944-10,10,1944
539,1944-11,11,1944
540,1944-12,12,1944
541,1945-1,1,1945
542,1945-2,2,1945
543,1945-3,3,1945
544,1945-4,4,1945
545,1945-5,5,1945
546,1945-6,6,1945
547,1945-7,7,1945
548,1945-8,8,1945
549,1945-9,9,1945
550,1945-10,10,1945
551,1945-11,11,1945
552,1945-12,12,1945
553,1946-1,1,1946
554,1946-2,2,1946
555,1946-3,3,1946
556,1946-4,4,1946
557,1946-5,5,1946
558,1946-6,6,1946
559,1946-7,7,1946
560,1946-8,8,1946
561,1946-9,9,1946
562,1946-10,10,1946
563,1946-11,11,1946
564,1946-12,12,1946
565,1947-1,1,1947
566,1947-2,2,1947
567,1947-3,3,1947
568,1947-4,4,1947
569,1947-5,5,1947
570,1947-6,6,1947
571,1947-7,7,1947
572,1947-8,8,1947
573,1947-9,9,1947
574,1947-10,10,1947
575,1947-11,11,1947
576,1947-12,12,1947
577,1948-1,1,1948
578,1948-2,2,1948
579,1948-3,3,1948
580,1948-4,4,1948
581,1948-5,5,1948
582,1948-6,6,1948
583,1948-7,7,1948
584,1948-8,8,1948
585,1948-9,9,1948
586,1948-10,10,1948
587,1948-11,11,1948
588,1948-12,12,1948
589,1949-1,1,1949
590,1949-2,2,1949
591,1949-3,3,1949
592,1949-4,4,1949
593,1949-5,5,1949
594,1949-6,6,1949
595,1949-7,7,1949
596,1949-8,8,1949
597,1949-9,9,1949
598,1949-10,10,1949
599,1949-11,11,1949
600,1949-12,12,1949
601,1950-1,1,1950
602,1950-2,2,1950
603,1950-3,3,1950
604,1950-4,4,1950
605,1950-5,5,1950
606,1950-6,6,1950
607,1950-7,7,1950
608,1950-8,8,1950
609,1950-9,9,1950
610,1950-10,10,1950
611,1950-11,11,1950
612,1950-12,12,1950
613,1951-1,1,1951
614,1951-2,2,1951
615,1951-3,3,1951
616,1951-4,4,1951
617,1951-5,5,1951
618,1951-6,6,1951
619,1951-7,7,1951
620,1951-8,8,1951
621,1951-9,9,1951
622,1951-10,10,1951
623,1951-11,11,1951
624,1951-12,12,1951
625,1952-1,1,1952
626,1952-2,2,1952
627,1952-3,3,1952
628,1952-4,4,1952
629,1952-5,5,1952
630,1952-6,6,1952
631,1952-7,7,1952
632,1952-8,8,1952
633,1952-9,9,1952
634,1952-10,10,1952
635,1952-11,11,1952
636,1952-12,12,1952
637,1953-1,1,1953
638,1953-2,2,1953
639,1953-3,3,1953
640,1953-4,4,1953
641,1953-5,5,1953
642,1953-6,6,1953
643,1953-7,7,1953
644,1953-8,8,1953
645,1953-9,9,1953
646,1953-10,10,1953
647,1953-11,11,1953
648,1953-12,12,1953
649,1954-1,1,1954
650,1954-2,2,1954
651,1954-3,3,1954
652,1954-4,4,1954
653,1954-5,5,1954
654,1954-6,6,1954
655,1954-7,7,1954
656,1954-8,8,1954
657,1954-9,9,1954
658,1954-10,10,1954
659,1954-11,11,1954
660,1954-12,12,1954
661,1955-1,1,1955
662,1955-2,2,1955
663,1955-3,3,1955
664,1955-4,4,1955
665,1955-5,5,1955
666,1955-6,6,1955
667,1955-7,7,1955
668,1955-8,8,1955
669,1955-9,9,1955
670,1955-10,10,1955
671,1955-11,11,1955
672,1955-12,12,1955
673,1956-1,1,1956
674,1956-2,2,1956
675,1956-3,3,1956
676,1956-4,4,1956
677,1956-5,5,1956
678,1956-6,6,1956
679,1956-7,7,1956
680,1956-8,8,1956
681,1956-9,9,1956
682,1956-10,10,1956
683,1956-11,11,1956
684,1956-12,12,1956
685,1957-1,1,1957
686,1957-2,2,1957
687,1957-3,3,1957
688,1957-4,4,1957
689,1957-5,5,1957
690,1957-6,6,1957
691,1957-7,7,1957
692,1957-8,8,1957
693,1957-9,9,1957
694,1957-10,10,1957
695,1957-11,11,1957
696,1957-12,12,1957
697,1958-1,1,1958
698,1958-2,2,1958
699,1958-3,3,1958
700,1958-4,4,1958
701,1958-5,5,1958
702,1958-6,6,1958
703,1958-7,7,1958
704,1958-8,8,1958
705,1958-9,9,1958
706,1958-10,10,1958
707,1958-11,11,1958
708,1958-12,12,1958
709,1959-1,1,1959
710,1959-2,2,1959
711,1959-3,3,1959
712,1959-4,4,1959
713,1959-5,5,1959
714,1959-6,6,1959
715,1959-7,7,1959
716,1959-8,8,1959
717,1959-9,9,1959
718,1959-10,10,1959
719,1959-11,11,1959
720,1959-12,12,1959
721,1960-1,1,1960
722,1960-2,2,1960
723,1960-3,3,1960
724,1960-4,4,1960
725,1960-5,5,1960
726,1960-6,6,1960
727,1960-7,7,1960
728,1960-8,8,1960
729,1960-9,9,1960
730,1960-10,10,1960
731,1960-11,11,1960
732,1960-12,12,1960
733,1961-1,1,1961
734,1961-2,2,1961
735,1961-3,3,1961
736,1961-4,4,1961
737,1961-5,5,1961
738,1961-6,6,1961
739,1961-7,7,1961
740,1961-8,8,1961
741,1961-9,9,1961
742,1961-10,10,1961
743,1961-11,11,1961
744,1961-12,12,1961
745,1962-1,1,1962
746,1962-2,2,1962
747,1962-3,3,1962
748,1962-4,4,1962
749,1962-5,5,1962
750,1962-6,6,1962
751,1962-7,7,1962
752,1962-8,8,1962
753,1962-9,9,1962
754,1962-10,10,1962
755,1962-11,11,1962
756,1962-12,12,1962
757,1963-1,1,1963
758,1963-2,2,1963
759,1963-3,3,1963
760,1963-4,4,1963
761,1963-5,5,1963
762,1963-6,6,1963
763,1963-7,7,1963
764,1963-8,8,1963
765,1963-9,9,1963
766,1963-10,10,1963
767,1963-11,11,1963
768,1963-12,12,1963
769,1964-1,1,1964
770,1964-2,2,1964
771,1964-3,3,1964
772,1964-4,4,1964
773,1964-5,5,1964
774,1964-6,6,1964
775,1964-7,7,1964
776,1964-8,8,1964
777,1964-9,9,1964
778,1964-10,10,1964
779,1964-11,11,1964
780,1964-12,12,1964
781,1965-1,1,1965
782,1965-2,2,1965
783,1965-3,3,1965
784,1965-4,4,1965
785,1965-5,5,1965
786,1965-6,6,1965
787,1965-7,7,1965
788,1965-8,8,1965
789,1965-9,9,1965
790,1965-10,10,1965
791,1965-11,11,1965
792,1965-12,12,1965
793,1966-1,1,1966
794,1966-2,2,1966
795,1966-3,3,1966
796,1966-4,4,1966
797,1966-5,5,1966
798,1966-6,6,1966
799,1966-7,7,1966
800,1966-8,8,1966
