,count,mean,std,min,25%,50%,75%,max
forward_five_month_return_sector_zscore,27556,5.192326849,249.5049462,-10.30037748,-0.715957961,0,0.637827152,15915.7279
forward_five_month_return,27612,82.75792124,3560.845173,-99.93759777,-19.95651253,-3.758621642,8.975702371,154317.1779
forward_five_month_return_zscore,27612,3.682864635,155.9051735,-5.341843682,-0.760214221,0,0.612637218,8058.508444
past_five_month_return_sector_zscore,27664,6.868137367,303.7508936,-10.85584431,-0.70581134,0,0.648487289,19505.41307
forward_fifteen_month_return_median,27718,-3.766506406,3.051920547,-6.794599419,-5.798071674,-5.183246073,0.514705882,1.410851189
forward_sixteen_month_return_median,27718,14.77483478,33.76475486,-5.460266601,-4.775073746,-1.197956921,12.51497949,95.84441915
forward_seventeen_month_return_median,27718,32.96033302,84.5797639,-13.45435685,-4.661461743,2.887877374,4.921833575,239.9315366
forward_fifteen_month_return_mad,27718,30.44368117,9.899607316,15.00134472,17.10885989,33.0704339,39.79749359,42.62436703
forward_sixteen_month_return_mad,27718,48.57087778,49.18834528,11.01963311,14.54094724,20.43787502,124.1220408,128.2065247
forward_seventeen_month_return_mad,27718,45.10752624,17.55612621,28.95114721,29.68792153,44.21787211,45.42726359,85.09349648
dpr_sector_zscore,27726,,,#NAME?,-0.67294751,0.26093883,2.20371822,inf
past_fifteen_month_return_median,27728,-2.318967294,5.171765744,-5.351535836,-5.293219435,-4.354648882,-2.157635081,10.11913708
past_sixteen_month_return_median,27728,-2.574028854,5.865124213,-9.386562305,-5.454368958,-4.827093566,0.592137833,10.18810312
past_seventeen_month_return_median,27728,-0.876980492,7.367247297,-11.06598731,-6.746078721,-1.452090402,6.381820138,11.83208752
past_fifteen_month_return_mad,27728,15.6037839,6.746479032,2.189367299,8.716031863,18.08753518,20.21970108,21.71147795
past_sixteen_month_return_mad,27728,12.70656941,4.574944727,5.986070233,7.230665666,13.01036106,16.19411117,19.81509706
past_seventeen_month_return_mad,27728,15.06234045,6.684418721,4.612772184,8.896813556,16.87891726,21.44948802,22.84361409
past_five_month_return,27735,79.88061327,3552.789307,-99.93759777,-19.80235814,-4.318669528,7.862560721,154317.1779
past_five_month_return_zscore,27735,5.950590746,271.6464825,-10.28817458,-0.759453468,0,0.612790967,19165.1772
past_eleven_month_return_sector_median,28413,-4.021066488,13.25893051,-77.69686337,-9.608819489,-3.16993768,2.100941273,24.8416353
past_eleven_month_return_sector_mad,28413,18.46261583,13.20092894,0,10.42225278,14.24355424,25.7103003,58.30425768
past_ten_month_return_sector_median,28458,-2.856254579,13.53762669,-77.22576601,-9.807810054,-1.457142857,3.288089334,26.70814662
past_ten_month_return_sector_mad,28458,19.55325359,15.53404082,0.01331693,7.880090783,15.3257201,27.55758871,64.53128237
forward_eleven_month_return_sector_median,28634,-0.269207898,32.56203724,-78.07404678,-10.12274243,-4.212326061,2.652087682,181.2365973
forward_eleven_month_return_sector_mad,28634,42.00219857,40.65158408,0,18.69354061,33.12114339,60.27669528,258.8799847
